league,date,side,position,teamname,adversa_team,gamelength,result,kills,deaths,assists,firstblood,firstdragon,firsttower,totalKills,totalDragons,totalBarons,totalTowers,totalInhibitors
LFL2,2025-01-11,Blue,team,IziDream,Team Valiant,26.53,0,3,13,5,0.0,0.0,0.0,16,2.0,1.0,12.0,2.0
LFL2,2025-01-11,Red,team,Team Valiant,IziDream,26.53,1,13,3,36,1.0,1.0,1.0,16,2.0,1.0,12.0,2.0
LFL2,2025-01-11,Blue,team,Esprit Shōnen,Skillcamp,32.03,1,21,11,53,1.0,0.0,1.0,32,5.0,1.0,13.0,3.0
LFL2,2025-01-11,Red,team,Skillcamp,Esprit Shōnen,32.03,0,10,21,22,0.0,1.0,0.0,31,5.0,1.0,13.0,3.0
LFL2,2025-01-11,Blue,team,Karmine Corp Blue Stars,Project Conquerors,29.7,0,18,22,30,0.0,0.0,0.0,40,4.0,1.0,15.0,3.0
LFL2,2025-01-11,Red,team,Project Conquerors,Karmine Corp Blue Stars,29.7,1,22,18,47,1.0,1.0,1.0,40,4.0,1.0,15.0,3.0
LFL2,2025-01-11,Blue,team,Zerance,Lille Esport,26.53,0,3,18,4,1.0,1.0,0.0,21,4.0,0.0,10.0,2.0
LFL2,2025-01-11,Red,team,Lille Esport,Zerance,26.53,1,18,3,45,0.0,0.0,1.0,21,4.0,0.0,10.0,2.0
LPL,2025-01-12,Blue,team,Weibo Gaming,Oh My God,35.38,1,17,5,33,1.0,1.0,1.0,22,5.0,1.0,14.0,3.0
LPL,2025-01-12,Red,team,Oh My God,Weibo Gaming,35.38,0,5,17,9,0.0,0.0,0.0,22,5.0,1.0,14.0,3.0
LPL,2025-01-12,Blue,team,Oh My God,Weibo Gaming,32.53,0,11,18,27,0.0,0.0,0.0,29,4.0,1.0,12.0,3.0
LPL,2025-01-12,Red,team,Weibo Gaming,Oh My God,32.53,1,18,11,40,1.0,1.0,1.0,29,4.0,1.0,12.0,3.0
LFL2,2025-01-12,Blue,team,Team Valiant,Karmine Corp Blue Stars,23.33,1,26,3,70,1.0,1.0,1.0,29,1.0,0.0,13.0,2.0
LFL2,2025-01-12,Red,team,Karmine Corp Blue Stars,Team Valiant,23.33,0,3,26,6,0.0,0.0,0.0,29,1.0,0.0,13.0,2.0
LPL,2025-01-12,Blue,team,Oh My God,Weibo Gaming,33.57,0,18,22,40,0.0,1.0,1.0,40,3.0,1.0,13.0,2.0
LPL,2025-01-12,Red,team,Weibo Gaming,Oh My God,33.57,1,22,18,44,1.0,0.0,0.0,40,3.0,1.0,13.0,2.0
LFL2,2025-01-12,Blue,team,IziDream,Skillcamp,21.72,1,16,0,42,1.0,1.0,1.0,16,2.0,0.0,11.0,2.0
LFL2,2025-01-12,Red,team,Skillcamp,IziDream,21.72,0,0,16,0,0.0,0.0,0.0,16,2.0,0.0,11.0,2.0
LFL2,2025-01-12,Blue,team,Esprit Shōnen,Zerance,29.22,1,16,12,38,0.0,1.0,1.0,28,4.0,1.0,14.0,3.0
LFL2,2025-01-12,Red,team,Zerance,Esprit Shōnen,29.22,0,12,16,28,1.0,0.0,0.0,28,4.0,1.0,14.0,3.0
LFL2,2025-01-12,Blue,team,Project Conquerors,Lille Esport,32.7,1,24,17,70,0.0,0.0,1.0,41,5.0,1.0,10.0,1.0
LFL2,2025-01-12,Red,team,Lille Esport,Project Conquerors,32.7,0,17,24,37,1.0,1.0,0.0,41,5.0,1.0,10.0,1.0
LCKC,2025-01-13,Blue,team,Nongshim Esports Academy,DN Freecs Challengers,30.93,0,7,11,23,1.0,0.0,0.0,18,2.0,1.0,11.0,2.0
LCKC,2025-01-13,Red,team,DN Freecs Challengers,Nongshim Esports Academy,30.93,1,11,7,33,0.0,1.0,1.0,18,2.0,1.0,11.0,2.0
LCKC,2025-01-13,Blue,team,DN Freecs Challengers,Nongshim Esports Academy,30.65,1,17,12,26,1.0,0.0,1.0,29,3.0,1.0,11.0,2.0
LCKC,2025-01-13,Red,team,Nongshim Esports Academy,DN Freecs Challengers,30.65,0,11,17,12,0.0,1.0,0.0,28,3.0,1.0,11.0,2.0
LCKC,2025-01-13,Blue,team,OKSavingsBank BRION Challengers,T1 Esports Academy,30.15,0,4,9,13,1.0,0.0,0.0,13,4.0,0.0,11.0,1.0
LCKC,2025-01-13,Red,team,T1 Esports Academy,OKSavingsBank BRION Challengers,30.15,1,9,4,30,0.0,1.0,1.0,13,4.0,0.0,11.0,1.0
LCKC,2025-01-13,Blue,team,OKSavingsBank BRION Challengers,T1 Esports Academy,28.8,0,6,13,12,0.0,1.0,0.0,19,4.0,1.0,12.0,3.0
LCKC,2025-01-13,Red,team,T1 Esports Academy,OKSavingsBank BRION Challengers,28.8,1,13,6,14,1.0,0.0,1.0,19,4.0,1.0,12.0,3.0
LPL,2025-01-13,Blue,team,LNG Esports,ThunderTalk Gaming,34.97,1,20,14,42,0.0,0.0,1.0,34,5.0,1.0,9.0,1.0
LPL,2025-01-13,Red,team,ThunderTalk Gaming,LNG Esports,34.97,0,14,20,24,1.0,1.0,0.0,34,5.0,1.0,9.0,1.0
LCKC,2025-01-13,Blue,team,BNK FEARX Youth,Hanwha Life Esports Challengers,29.38,0,4,17,11,1.0,1.0,0.0,21,4.0,1.0,10.0,1.0
LCKC,2025-01-13,Red,team,Hanwha Life Esports Challengers,BNK FEARX Youth,29.38,1,17,4,38,0.0,0.0,1.0,21,4.0,1.0,10.0,1.0
LPL,2025-01-13,Blue,team,ThunderTalk Gaming,LNG Esports,34.22,1,19,7,61,0.0,0.0,0.0,26,3.0,2.0,11.0,1.0
LPL,2025-01-13,Red,team,LNG Esports,ThunderTalk Gaming,34.22,0,7,19,16,1.0,1.0,1.0,26,3.0,2.0,11.0,1.0
LCKC,2025-01-13,Blue,team,Hanwha Life Esports Challengers,BNK FEARX Youth,27.8,0,3,12,6,1.0,0.0,0.0,15,3.0,1.0,10.0,1.0
LCKC,2025-01-13,Red,team,BNK FEARX Youth,Hanwha Life Esports Challengers,27.8,1,12,3,27,0.0,1.0,1.0,15,3.0,1.0,10.0,1.0
LPL,2025-01-13,Blue,team,LNG Esports,ThunderTalk Gaming,29.88,0,9,17,25,0.0,0.0,1.0,26,4.0,1.0,11.0,1.0
LPL,2025-01-13,Red,team,ThunderTalk Gaming,LNG Esports,29.88,1,17,9,51,1.0,1.0,0.0,26,4.0,1.0,11.0,1.0
LCKC,2025-01-13,Blue,team,Hanwha Life Esports Challengers,BNK FEARX Youth,31.18,0,4,14,10,0.0,0.0,1.0,18,4.0,1.0,9.0,1.0
LCKC,2025-01-13,Red,team,BNK FEARX Youth,Hanwha Life Esports Challengers,31.18,1,14,4,41,1.0,1.0,0.0,18,4.0,1.0,9.0,1.0
LPL,2025-01-13,Blue,team,LNG Esports,ThunderTalk Gaming,40.85,0,14,16,32,0.0,0.0,0.0,30,6.0,3.0,14.0,1.0
LPL,2025-01-13,Red,team,ThunderTalk Gaming,LNG Esports,40.85,1,15,14,47,1.0,1.0,1.0,29,6.0,3.0,14.0,1.0
LCKC,2025-01-14,Blue,team,Dplus KIA Challengers,KT Rolster Challengers,26.17,0,3,18,8,0.0,0.0,0.0,21,4.0,0.0,9.0,1.0
LCKC,2025-01-14,Red,team,KT Rolster Challengers,Dplus KIA Challengers,26.17,1,18,3,48,1.0,1.0,1.0,21,4.0,0.0,9.0,1.0
LCKC,2025-01-14,Blue,team,KT Rolster Challengers,Dplus KIA Challengers,28.95,1,9,6,22,1.0,1.0,1.0,15,4.0,1.0,8.0,1.0
LCKC,2025-01-14,Red,team,Dplus KIA Challengers,KT Rolster Challengers,28.95,0,6,9,18,0.0,0.0,0.0,15,4.0,1.0,8.0,1.0
LPL,2025-01-14,Blue,team,Royal Never Give Up,FunPlus Phoenix,32.17,0,5,16,14,0.0,0.0,1.0,21,5.0,1.0,14.0,3.0
LPL,2025-01-14,Red,team,FunPlus Phoenix,Royal Never Give Up,32.17,1,16,5,49,1.0,1.0,0.0,21,5.0,1.0,14.0,3.0
LPL,2025-01-14,Blue,team,Royal Never Give Up,FunPlus Phoenix,35.37,1,22,8,57,1.0,0.0,1.0,30,5.0,1.0,12.0,1.0
LPL,2025-01-14,Red,team,FunPlus Phoenix,Royal Never Give Up,35.37,0,8,22,18,0.0,1.0,0.0,30,5.0,1.0,12.0,1.0
LCKC,2025-01-14,Blue,team,DRX Challengers,Gen.G Global Academy,29.4,1,8,4,17,0.0,0.0,1.0,12,4.0,1.0,11.0,2.0
LCKC,2025-01-14,Red,team,Gen.G Global Academy,DRX Challengers,29.4,0,4,8,11,1.0,1.0,0.0,12,4.0,1.0,11.0,2.0
LPL,2025-01-14,Blue,team,FunPlus Phoenix,Royal Never Give Up,29.12,0,6,14,13,0.0,1.0,0.0,20,4.0,1.0,13.0,2.0
LPL,2025-01-14,Red,team,Royal Never Give Up,FunPlus Phoenix,29.12,1,14,6,29,1.0,0.0,1.0,20,4.0,1.0,13.0,2.0
LCKC,2025-01-14,Blue,team,Gen.G Global Academy,DRX Challengers,37.13,0,11,20,24,0.0,0.0,0.0,31,5.0,0.0,13.0,1.0
LCKC,2025-01-14,Red,team,DRX Challengers,Gen.G Global Academy,37.13,1,20,11,53,1.0,1.0,1.0,31,5.0,0.0,13.0,1.0
LPL,2025-01-14,Blue,team,FunPlus Phoenix,Royal Never Give Up,44.93,0,12,19,37,0.0,0.0,0.0,31,6.0,2.0,18.0,4.0
LPL,2025-01-14,Red,team,Royal Never Give Up,FunPlus Phoenix,44.93,1,19,12,43,1.0,1.0,1.0,31,6.0,2.0,18.0,4.0
LVP SL,2025-01-14,Blue,team,Ramboot Club,ZETA,28.28,1,17,4,54,1.0,0.0,1.0,21,4.0,1.0,12.0,3.0
LVP SL,2025-01-14,Red,team,ZETA,Ramboot Club,28.28,0,4,17,11,0.0,1.0,0.0,21,4.0,1.0,12.0,3.0
